,name,title,latitude,longtitude,address1,address2,address3,city,zip_code,country,state,display_address
15412,Biscuit's Biscuits,"['Food Trucks', 'Sandwiches']",39.9553,-75.19059,3300 Market St,,,Philadelphia,19104,US,PA,"3300 Market St Philadelphia, PA 19104 "
15414,KAMI Philadelphia,"['Food Trucks', 'Korean']",39.9570641,-75.1825364,3233 Arch St,#3299,,Philadelphia,19104,US,PA,"3233 Arch St #3299 Philadelphia, PA 19104 "
15419,Dos Hermanos Tacos,"['Mexican', 'Food Trucks']",39.95555910536725,-75.19075717609216,3342 Market St,,,Philadelphia,19104,US,PA,"3342 Market St Philadelphia, PA 19104 "
15427,Jerry's Kitchen,"['Food Trucks', 'Caterers', 'American (Traditional)']",39.957772,-75.188643,33RD And Arch St,,,Philadelphia,19104,US,PA,"33RD And Arch St Philadelphia, PA 19104 "
15432,Flaming Basil,"['Food Trucks', 'Laotian', 'Thai']",39.95624,-75.19491,,,,Philadelphia,19104,US,PA,"Philadelphia, PA 19104 "
15641,Tokyo Sushi,"['Sushi Bars', 'Japanese']",40.0742256969139,-75.2026529059126,8229 Germantown Ave,,,Philadelphia,19118,US,PA,"8229 Germantown Ave Philadelphia, PA 19118 "
15643,King's Garden,['Chinese'],40.074311,-75.202909,8225 Germantown Ave,,,Philadelphia,19118,US,PA,"8225 Germantown Ave Philadelphia, PA 19118 "
15659,La Casa Del Mofongo,"['Juice Bars & Smoothies', 'Soup', 'Sandwiches']",40.022133,-75.13389,4638 N 5st,,,Philadelphia,19140,US,PA,"4638 N 5st Philadelphia, PA 19140 "
15662,Porky's Point Restaurant,['Latin American'],40.0096965,-75.1365387,3824 N 5th St,,,Philadelphia,19140,US,PA,"3824 N 5th St Philadelphia, PA 19140 "
15665,Pica Pollo Express,"['Food Trucks', 'Dominican']",40.0214500427246,-75.1343841552734,4600 N 5th St,,,Philadelphia,19140,US,PA,"4600 N 5th St Philadelphia, PA 19140 "
15668,El Bochinche Restaurante,"['Mexican', 'Colombian', 'Empanadas']",40.027,-75.13302,4940 N 5th St,,,Philadelphia,19120,US,PA,"4940 N 5th St Philadelphia, PA 19120 "
15672,Los Tacos,['Mexican'],40.029,-75.1324099,5104 N 5th St,,,Philadelphia,19120,US,PA,"5104 N 5th St Philadelphia, PA 19120 "
15674,Maria's Restaurant,['Dominican'],40.01339,-75.1358,4058 N 5th St,,,Philadelphia,19140,US,PA,"4058 N 5th St Philadelphia, PA 19140 "
15676,Panadería Mexicana El Trebol,"['Mexican', 'Bakeries', 'Juice Bars & Smoothies']",40.02854,-75.1325899,5052 N 5th St,,,Philadelphia,19120,US,PA,"5052 N 5th St Philadelphia, PA 19120 "
15679,Premium 1,"['Pizza', 'Food Delivery Services']",40.02683,-75.13297,4934 N 5th St,,,Philadelphia,19120,US,PA,"4934 N 5th St Philadelphia, PA 19120 "
15680,Imperial Garden,['Chinese'],40.01549,-75.13737,4200 N 6th St,,,Philadelphia,19140,US,PA,"4200 N 6th St Philadelphia, PA 19140 "
15681,Pizza Fina,['Pizza'],40.02079,-75.13363,4543 N 5th St,,,Philadelphia,19140,US,PA,"4543 N 5th St Philadelphia, PA 19140 "
15682,Iberia,['Portuguese'],40.022152,-75.133923,4638 N 5th St,,,Philadelphia,19140,US,PA,"4638 N 5th St Philadelphia, PA 19140 "
15683,Las Rancheritas,['Mexican'],40.0118598937988,-75.1361312866211,3956 N 5th St,,,Philadelphia,19140,US,PA,"3956 N 5th St Philadelphia, PA 19140 "
15684,La Parrillada,['Latin American'],40.0274543762207,-75.1327972412109,5002 N 5th St,,,Philadelphia,19120,US,PA,"5002 N 5th St Philadelphia, PA 19120 "
15692,Gold House,['Chinese'],40.0123310646968,-75.1376868572046,4001 N 6th St,,,Philadelphia,19140,US,PA,"4001 N 6th St Philadelphia, PA 19140 "
15695,Taco Bell,"['Fast Food', 'Mexican']",40.01195,-75.13566,4001 N 5th St,,,Philadelphia,19140,US,PA,"4001 N 5th St Philadelphia, PA 19140 "
15699,KFC,"['Fast Food', 'Chicken Wings', 'Chicken Shop']",40.0122547753828,-75.1354884957442,4001 N 5th St,,,Philadelphia,19140,US,PA,"4001 N 5th St Philadelphia, PA 19140 "
15718,Francoluigi's Pizzeria & Italian Restaurant,"['Pizza', 'Italian']",39.9302934257011,-75.1661050210697,1549 S 13th St,,,Philadelphia,19147,US,PA,"1549 S 13th St Philadelphia, PA 19147 "
15727,Asian Fusion,['Asian Fusion'],39.92773,-75.16577,1739 E Passyunk Ave,,,Philadelphia,19148,US,PA,"1739 E Passyunk Ave Philadelphia, PA 19148 "
15730,Stogie Joe's Tavern,"['Burgers', 'Pasta Shops', 'Pizza']",39.927559,-75.166057,1801 E Passyunk Ave,,,Philadelphia,19148,US,PA,"1801 E Passyunk Ave Philadelphia, PA 19148 "
15734,Lucky 13 Pub,"['Pubs', 'American (New)']",39.92716,-75.16713,1820 S 13th St,,,Philadelphia,19148,US,PA,"1820 S 13th St Philadelphia, PA 19148 "
